Feature1,Feature2,Feature3,Feature4,Feature5,Date,Bank_Name,Class,Age,Age_Group,Transaction_ID,Amount,Status
915.0833334,293.3486267,490.6943459,438.6114359,760.3116511,22-12-2022,Bank C,0,44,35-44,VJ02S5PXHFQ1L0H8,583,Success
420.3333094,943.5531456,902.5338826,872.161152,71.25833265,23-05-2020,Bank C,0,37,35-44,62V1WS4WT7YQCTFV,760,Success
854.2580616,781.6354454,103.512947,107.4143254,101.1638115,14-02-2021,Bank E,0,68,65+,RCGUGO4TD5W9AYGA,906,Failed
11.3325932,548.6343052,973.3942914,438.6847029,540.7575019,04-02-2019,Bank C,0,18,18-24,AOWQV65VN6IDDRKL,853,Failed
967.9697968,255.1822288,858.4702526,546.3904672,569.4765147,25-07-2019,Bank D,0,43,35-44,THHA00ZVM09AJRXT,576,Failed
343.1738572,561.584361,73.14250948,764.6435726,284.6877615,09-01-2022,Bank B,0,79,65+,9ZZS1LJ97MSZ8IBJ,255,Success
887.6083295,367.8506946,142.8241105,695.8815744,164.5781447,05-05-2023,Bank C,0,28,25-34,K8XWP084KBWOYO1A,177,Pending
753.6805155,968.1122364,779.5528688,22.44924843,599.8857881,12-11-2022,Bank C,0,78,65+,8HQ0MQCOWWXDI5R7,537,Failed
695.410671,825.4583258,56.00230894,480.107828,535.3708726,22-10-2021,Bank E,0,32,25-34,BV91817UQ3QWTOO4,289,Pending
169.1248626,322.4498097,440.2217263,833.209688,929.4075661,18-10-2021,Bank D,0,56,55-64,KZGI32G5IADDN5OU,668,Success
628.4228289,394.945186,254.0310178,982.1351844,983.0199981,14-11-2022,Bank B,0,57,55-64,Y6ULVEQR5OP4487P,670,Failed
924.9769482,785.6691499,325.7795437,817.0004835,408.7930173,19-07-2020,Bank E,0,65,65+,GVFW59UREWLE7GNB,979,Pending
326.7730982,744.8653585,79.65392762,48.5627233,447.9536972,03-02-2022,Bank E,0,35,35-44,RBRFBTNZYV643U4J,350,Success
445.6388008,895.6441531,126.1530963,123.2839275,147.4526005,01-12-2023,Bank D,0,41,35-44,E67Q7H9E5YV72EU6,129,Pending
29.73626129,71.73173781,659.8698668,431.5843291,763.6030671,09-02-2023,Bank B,0,45,45-54,YT3V8YJ8O50KVX4H,419,Success
992.5977186,659.0346811,50.45557062,104.5628648,881.0040848,03-12-2020,Bank D,0,42,35-44,GMOBO24MUO36PADE,355,Failed
527.4959446,824.8371594,856.6123362,927.6745415,949.8292055,06-02-2020,Bank B,0,40,35-44,8PINNIL7K4U08WSF,319,Pending
554.8257965,341.0201723,961.8648743,547.406406,64.25272295,30-12-2020,Bank D,0,28,25-34,5O02X35W7RDIPVWU,328,Failed
642.7765501,587.6847504,895.7928729,653.1871892,349.0524245,29-04-2023,Bank E,0,50,45-54,3VTNLY6SAK58RNDX,285,Success
966.2257257,801.619486,630.4176184,292.9252034,373.5402963,11-06-2019,Bank E,0,33,25-34,R38U8LVBALPD7SLP,528,Failed
669.9699241,71.98081846,256.6805917,713.9009334,480.0185098,21-07-2019,Bank A,0,53,45-54,KNFCZSGQSL7N34B8,32,Failed
402.3935648,151.4576224,441.8490345,770.6919708,264.0128461,22-09-2021,Bank C,0,40,35-44,5Y401LTGOZIJMZ0G,111,Failed
5.398542184,668.5049012,972.6266044,606.8265636,119.9218589,27-09-2019,Bank D,0,23,18-24,IDSG59C4ZWBKXP00,445,Success
320.7330923,867.6416147,232.5680743,607.6959035,402.6712083,26-03-2021,Bank A,0,60,55-64,85IU67UIB0TOILNS,729,Success
207.8437214,813.4068936,742.8312765,661.591066,236.3365903,18-07-2022,Bank C,0,79,65+,JID5F5TDPGST1UDO,653,Pending
97.85700272,576.1593298,553.6778335,188.3850093,56.24669432,31-03-2020,Bank D,1,41,35-44,PLSA2IDO60FMN9RN,993,Failed
80.70845419,992.7709865,783.5838947,921.987476,195.0547222,25-01-2023,Bank B,0,55,55-64,TTKH6M202WFCRZJB,626,Pending
960.5685363,142.6543515,509.0818286,829.6956844,349.8033545,17-10-2023,Bank C,0,59,55-64,IBE4LQ796H2Z27L2,997,Pending
424.8285332,128.1851103,122.92188,619.5682248,675.5323686,29-06-2022,Bank E,0,23,18-24,6M97TVF6H5KKQL58,839,Success
777.3325141,556.6820527,645.7592923,13.5172717,162.1707271,13-10-2021,Bank A,0,27,25-34,2COSVIBK8LPMEO4W,822,Pending
984.914766,75.99350632,678.7882223,176.082633,716.7185858,22-09-2023,Bank C,0,39,35-44,KJHJMP4PLFNCPB18,915,Success
705.990403,234.1990598,269.6343992,654.7707136,390.0860388,23-10-2019,Bank C,0,40,35-44,7G809CLJYXLORS6I,950,Failed
194.5479697,731.6795988,154.1475243,855.6436641,514.6695241,15-10-2023,Bank E,0,22,18-24,NCV8OS7RLAMN9TXW,480,Failed
105.7006039,694.0723335,519.1630396,298.0575718,422.5393802,20-12-2020,Bank D,0,45,45-54,DFHIFA8D1BQDQ7EO,803,Success
298.3377436,263.0258357,163.6084208,362.7671331,250.9872063,08-11-2023,Bank B,0,76,65+,VQB6BIN5D3ZS95OL,706,Success
683.4344871,683.8767412,501.8402426,777.9445275,841.339719,04-12-2019,Bank E,0,26,25-34,H9KT94XOGI0BZVZ5,111,Success
579.7664574,618.9351628,282.8859098,894.8692007,24.20604442,28-05-2021,Bank B,0,56,55-64,08Q62KXNELS44GDH,838,Success
348.6024694,721.8004215,80.08950967,183.1695274,589.2857279,12-12-2021,Bank D,0,66,65+,4WCDIESM917FVG44,350,Success
559.9936715,738.9282961,812.6126391,128.5795785,18.38098978,02-03-2021,Bank C,0,76,65+,V0HL3TDZL3VK0RHH,737,Success
689.6385197,301.3917958,625.9839139,150.5445881,469.0400467,05-08-2019,Bank B,0,61,55-64,CZFNG3RAVRF943Y4,711,Failed
504.4247461,585.0778164,513.1700163,495.6907702,332.734154,02-02-2021,Bank A,0,45,45-54,531W6HCO4TTIUXV8,912,Success
71.18023632,89.5201968,433.7782744,355.7931278,516.1348047,07-07-2019,Bank A,1,79,65+,44VH8OBCK4F84IDV,493,Success
304.8381693,687.9100915,863.954822,298.8631888,192.9840079,15-01-2020,Bank E,0,42,35-44,OLGC4YJGJOOYKU67,312,Pending
116.1805743,616.2540406,443.8559911,188.0157172,653.1367333,07-05-2020,Bank D,0,60,55-64,LXF3V05T9PNVD64V,337,Pending
148.483183,554.3007058,527.1483816,734.2278012,55.10963994,30-11-2021,Bank E,0,55,55-64,YJREKLVXUOLYFCA1,374,Success
887.8729319,702.9917261,216.1259983,183.4053486,431.6602141,26-03-2022,Bank E,0,44,35-44,34UDQS5BRWN0VL8C,541,Failed
817.5653295,842.9499931,520.4560921,860.8108627,5.443709192,15-01-2019,Bank E,0,41,35-44,E0N4OX3FFOP83DXQ,842,Pending
35.17463153,911.8215936,775.3319299,450.7060583,753.6101315,06-03-2019,Bank A,0,74,65+,1WPW70A9TN8TVS62,626,Failed
955.6394617,772.0895239,842.3713338,760.6065814,168.2110924,04-06-2020,Bank A,0,60,55-64,NBWIX4G33NGKU14K,849,Failed
833.5741096,195.10882,892.611328,458.6498981,676.9767523,29-09-2022,Bank E,0,60,55-64,D6Q3UAICY62PHHW1,129,Pending
497.2408479,93.99092942,290.7223076,983.731854,960.7147517,26-02-2022,Bank A,0,63,55-64,7EO19POV5M7TMFZS,707,Success
320.4868977,996.2968042,845.5511955,610.9594994,40.12462026,09-10-2020,Bank D,0,33,25-34,15LU3NWLGGCFH48P,867,Failed
901.4468295,557.4292793,868.4761512,834.4291199,833.0062152,04-02-2023,Bank E,0,19,18-24,RXQ8JF7A8V4KXKO2,642,Pending
698.1738607,291.4151387,336.1602577,308.4692126,20.04599953,22-12-2021,Bank A,0,19,18-24,TXWBNLRZNMA7VKB0,313,Pending
582.5689092,698.8336704,853.8659935,140.1654334,544.183149,08-03-2022,Bank B,0,22,18-24,PM0346FN6SEJEQG7,946,Failed
8.008140674,95.09364771,54.21174421,725.478034,81.05956388,03-03-2023,Bank E,0,63,55-64,XYRTALK5USJGAOY7,13,Pending
716.4529816,249.6247044,877.7129607,813.1499884,957.8302175,15-08-2020,Bank E,0,38,35-44,LEAM6HJZ7362MRTI,210,Pending
883.7620155,933.3294191,858.7423965,693.3819006,170.2591521,27-01-2020,Bank D,0,77,65+,MW02O8RHNGR4YR1O,813,Success
271.7075189,212.7269661,603.5857877,503.619938,867.0799972,26-08-2023,Bank C,0,27,25-34,CYP0MKG511J02XI1,335,Pending
952.6728665,404.8598896,506.3505533,971.5163568,276.2389416,23-02-2020,Bank C,1,59,55-64,1VORJCAN3IMH54TA,626,Pending
792.3907754,225.2399023,681.4601154,253.6156276,883.7333888,16-10-2019,Bank D,0,35,35-44,9G945PQ618CI6EZ3,420,Success
561.4779437,185.9336409,224.3691757,493.8491957,961.6020256,14-01-2020,Bank D,0,43,35-44,9TZWCGXZ2ZSNFD8W,937,Failed
769.6421639,488.3096428,337.7191446,549.2684933,748.3608334,02-12-2023,Bank D,0,37,35-44,E9G860KGPIXVYMCB,436,Pending
783.9285885,324.6087981,721.1592682,657.78878,959.112292,22-02-2023,Bank C,0,58,55-64,TELFAQSZ7QGVAA7S,285,Success
931.0902905,789.3793256,723.3946889,274.0415897,845.9652561,19-08-2019,Bank D,0,53,45-54,4IE2WM4FZKUJ6XXZ,453,Pending
427.5057037,272.2405425,384.160758,835.93549,148.6332156,14-10-2021,Bank A,0,66,65+,BASI73PR8ZLLCH89,240,Failed
456.1587411,492.3575945,36.6296976,195.7460295,826.7424286,10-02-2019,Bank E,0,38,35-44,GGDU56T8KZ46P6Y3,92,Success
830.7673886,292.4150839,874.8972346,771.7829391,417.9074838,17-11-2021,Bank E,0,19,18-24,YDJMP2WBO9G92H04,95,Failed
748.4063444,961.3346312,458.9697181,238.427179,941.8165001,15-05-2019,Bank B,0,63,55-64,JJJRFGG1DDHKRX2Q,706,Success
603.7442886,105.2651625,572.6828159,500.5808894,855.5888941,20-07-2019,Bank B,0,71,65+,OX6QT1IPBJOKTKNH,780,Pending
530.6951898,255.2324343,675.6440639,542.5754525,233.0446283,18-02-2021,Bank E,0,50,45-54,GG6IQGHUDH9BDD7F,654,Success
573.6278579,821.5355779,28.57091772,630.8510386,349.5851958,18-07-2021,Bank A,0,40,35-44,J9NSP6BV2CV05NUT,145,Success
292.6714458,392.5877504,342.0226642,832.2391067,274.7978108,22-11-2021,Bank C,0,56,55-64,ZKVPFTJ9B0EE8ZZ8,974,Failed
733.1530231,94.05982023,951.3963725,622.3166372,706.718577,07-12-2021,Bank C,0,48,45-54,AZSLJULG3BW7L09E,462,Pending
298.0393321,412.0965687,223.7783863,932.5360858,488.1044471,17-05-2020,Bank A,0,21,18-24,8HI8PVAG0TATNG6J,442,Success
630.4481157,734.2720305,371.1060911,720.1016545,675.9924898,11-02-2020,Bank C,1,58,55-64,OONL0BP2S96NWQGG,39,Failed
705.6593339,489.2299002,382.9373823,222.0821882,824.6263528,17-05-2023,Bank D,0,20,18-24,VTMU3XH43C3K8SVJ,527,Failed
608.3500465,444.3521961,943.9959067,47.83881251,850.1719452,18-10-2023,Bank E,0,54,45-54,ZOMWZPFFKYZ8LV0M,242,Failed
997.5825929,886.9421109,810.4365856,374.3059934,231.3141823,15-03-2021,Bank E,0,70,65+,WULE8R306VFDDK6K,330,Success
734.8505205,304.5753663,176.0396822,786.5258871,312.5436522,09-04-2019,Bank A,0,73,65+,9YQ9WO8AEN6C97KN,991,Pending
914.4417295,840.6326448,847.6403295,771.5697261,880.8814238,14-11-2020,Bank C,0,27,25-34,F1TCU47D4RXTWYHR,388,Failed
805.7468922,602.5113636,295.8227186,888.2091932,840.6036228,26-12-2020,Bank B,0,59,55-64,JUTN0DHX0AYZ9RUL,429,Success
472.8793222,39.078686,638.5437274,50.59685368,926.2799618,20-04-2023,Bank B,0,49,45-54,BZ85ECK8CB94OUYW,759,Pending
961.6312566,189.4901459,676.3893781,92.26900456,729.5169286,18-08-2021,Bank C,1,53,45-54,4T4X5FC414HB9929,912,Failed
347.2876662,681.0501117,372.8765092,145.5675098,406.1099805,29-10-2023,Bank B,0,66,65+,MQN8Q22X8F3FUDG4,863,Pending
112.6735266,576.883275,40.95153215,527.3196796,886.3686471,04-09-2020,Bank A,0,44,35-44,FR8C0Q2P3BDDZ608,303,Success
837.8732701,882.7816996,922.0488021,104.5278879,128.7472029,25-01-2023,Bank A,0,70,65+,5ZB08U348Q2RUXTR,801,Pending
557.0068063,893.9726684,974.3494565,46.26191734,355.7740842,04-10-2020,Bank C,0,66,65+,6PVO3GA5EOBG998M,210,Success
212.8942547,755.9658489,640.1938685,119.8880315,483.5220674,28-11-2023,Bank B,0,36,35-44,0HDOTMKAE9T7IAL1,971,Success
685.4405224,779.0053939,20.05270978,890.469574,569.281383,25-10-2021,Bank A,0,55,55-64,JH25QW0O8UYPLG96,828,Success
811.909115,807.93803,189.8526603,110.1721203,721.287269,26-05-2022,Bank A,0,18,18-24,RIWRS2N22P565629,631,Failed
156.4269188,849.9374914,726.1894839,841.8253644,299.0126796,17-05-2020,Bank D,0,43,35-44,DBR4DTQM05X7BMK2,623,Failed
316.5980604,671.2215563,31.44595506,726.4967463,835.7830709,05-02-2021,Bank D,0,63,55-64,I18NSG7ITUL6MDP4,484,Pending
415.1635866,764.8788301,174.610917,322.2603938,974.3049631,02-02-2020,Bank A,0,79,65+,3ALZXI42Y4U21543,153,Pending
986.3281736,512.605053,934.2697915,522.7306781,291.5881282,20-05-2021,Bank C,0,30,25-34,AQ9N746EQ8R79MBP,167,Failed
266.8992881,929.5057054,172.446389,579.6324582,555.5250681,05-03-2021,Bank E,0,52,45-54,YW7VNTXAI5X0LG36,556,Pending
739.6216847,499.2429075,272.2856607,169.3964996,620.8188035,28-01-2020,Bank E,0,72,65+,TERHW956DE98DKME,663,Success
718.9907569,569.5212787,738.3512771,141.5212024,882.4701949,26-07-2019,Bank A,0,19,18-24,4KBL70FOT8I6SEBS,311,Failed
582.3955084,126.8439269,461.9252042,844.7917379,897.5621935,04-11-2021,Bank A,0,39,35-44,96JO2106IQD1Z058,768,Pending
264.649505,711.2658247,99.98524748,33.54587141,560.3989538,27-04-2023,Bank A,0,56,55-64,O0DD9ZE7KBV0AQUE,897,Failed
694.8275793,795.7867312,340.2162385,6.525410429,479.5192371,10-06-2021,Bank C,0,45,45-54,QNSWXCL2P2AZD4LU,332,Success
15.85354537,91.98451067,326.6890225,437.1720496,279.4694412,24-01-2023,Bank D,0,61,55-64,YLK7KGLQJW1O9C3N,597,Pending
581.8652665,55.34978922,144.5797102,695.2584008,142.1408536,11-09-2023,Bank A,0,19,18-24,U9ADY0V2WQOG1AQG,667,Pending
639.7752016,54.68462075,407.3822791,177.4094701,109.6362825,18-05-2023,Bank A,0,28,25-34,7A3EVMFOGG3UEYC2,56,Pending
567.0327835,928.335772,54.78704792,421.5542482,707.5354377,13-05-2021,Bank B,0,65,65+,2UFYXC6I7D8KW69F,918,Success
462.6878317,806.4959461,179.6453159,959.594205,385.1626278,12-01-2021,Bank C,0,76,65+,NOT6NWSNB3MBYVDK,811,Failed
341.5696329,874.6057945,563.8670319,516.4443419,726.9779195,18-06-2022,Bank A,0,54,45-54,P864UPR8GR88L83Q,392,Failed
579.8342383,162.5156448,674.1976229,133.4688793,805.8577053,17-07-2020,Bank B,0,43,35-44,TBYMSL57XTBIJ5HI,820,Success
989.7365977,377.387625,444.7558982,46.43365548,13.73318808,17-10-2021,Bank E,0,45,45-54,12PIXWVDNGHXV2JI,831,Pending
921.4193349,128.6240604,445.7787476,815.3546239,889.3187599,06-04-2019,Bank A,0,43,35-44,0R4MZDW5P0SE85GO,301,Failed
519.3976853,565.032525,669.6839725,961.3824701,602.6699609,24-10-2023,Bank A,1,34,25-34,JNPU9ZP9PL61KMHX,979,Success
559.4752595,14.53413527,80.94970202,577.1716266,936.2403878,29-04-2020,Bank B,0,20,18-24,URP90PVUETASHXCF,194,Failed
866.6913484,982.578923,527.8340376,787.9309384,840.4003315,01-12-2022,Bank C,0,31,25-34,4786UMSK5789PB2X,785,Failed
648.0316573,338.7499042,469.9784347,857.9170722,298.547926,19-08-2019,Bank A,0,33,25-34,KSNW7XLJ5IGC72R3,470,Pending
923.7431313,229.8063414,749.5164152,630.5592343,749.5994411,18-01-2021,Bank E,0,66,65+,F1ICKMT91BW0XPYU,594,Pending
437.3475724,932.6410626,632.4722024,288.2958046,638.4550707,06-08-2023,Bank A,0,77,65+,J09570E3A23CBZK3,976,Pending
286.8157472,293.6323918,399.5985116,852.4304176,500.2978744,09-04-2022,Bank E,0,68,65+,8UOK7O6DX48TXER7,107,Failed
678.9008422,391.9677403,263.6054398,954.6401607,603.5812471,24-06-2020,Bank D,0,53,45-54,6ITMS1KDT5ZMAS56,919,Pending
